-4308.0 NA NA
-4210.585134708835 NA NA
-3878.861632282331 NA NA
-3569.456447828888 NA NA
-3270.185015472757 NA NA
-2910.025917725154 -2981.639121785422 NA
-2725.0047421191457 -2750.878092471323 -2742.7899185244537
-2468.6390750486216 -2576.907600267255 -2548.264940253847
-2295.1338201967687 -2145.2344925920806 -2101.3890383691137
-2010.4664025985471 -1901.8233472548613 -1744.7928450282516
-1727.2859699328067 -1728.7202570899901 -1506.075845561649
-1496.1728855646272 -1610.14560646368 -1340.7658844473922
-1427.1678705691759 -1495.6208405666134 -1241.3565092631745
-1286.6508324358251 -1356.411471131889 -1179.3250445308895
-1177.7037776441164 -1257.6950968844405 -1140.134287372076
-1145.5953705751756 -1154.4308762469886 -1135.172489656037
-1116.927716061344 -1132.8125535104418 -1146.5566041607306
-1107.730365149344 -1165.2955245554897 -1129.9014810489368
-1093.3238821862801 -1129.672530093911 -1147.2157126805016
-1095.830952562445 -1116.8602062587315 -1129.1825535739147
-1097.3315895035357 -1117.5332643159604 -1133.0025846555764
-1073.569303921957 -1123.5439971964913 -1094.5269384301034
-1083.079921139072 -1120.684373314277 -1092.140101437397
-1065.3953144401823 -1138.9939954609915 -1082.4020309851157
-1080.8497763654225 -1123.517712634252 -1082.7250344325716
-1075.495923078689 -1104.7718501724837 -1109.8096745219068
-1074.6239374085192 -1107.5894096332136 -1093.2010313720066
-1079.6527596302485 -1074.9001169975227 -1088.7883913444598
-1068.0542315654898 -1095.4920554381088 -1068.299779463345
-1048.5083396658933 -1073.0802893149237 -1084.9320045191962
-1036.7462664601933 -1076.2272378315974 -1070.788616764122
-1039.9691349216619 -1075.9159399416828 -1074.9718987482781
-1040.127039074341 -1092.8349979531476 -1064.0798755272288
-1033.5381449160077 -1103.9257273754813 -1061.0547975841505
-1043.4884595239773 -1068.096648692979 -1057.7207244361855
-1043.9563561811703 -1065.8795038955798 -1041.3169393550784
-1037.6148901371055 -1066.3573466944642 -1057.8619923633764
-1033.8908774274576 -1069.9184671577486 -1043.2808761114518
-1034.2341486185674 -1099.458041021919 -1057.8847290346396
-1027.28095388273 -1089.4842056847103 -1050.837760234773
-1033.607180554245 -1069.9985009546156 -1043.1640053504245
-1035.2265706823234 -1097.6212429436903 -1026.0705566652664
-1035.4023590550019 -1076.737471175721 -1037.252361615536
-1018.4557705587455 -1060.891582214463 -1029.0160963092114
-1037.006857603038 -1062.2731802100448 -1029.3858314701708
-1026.5955242696853 -1094.0911662666417 -1034.3767129898933
-1012.3315611566311 -1050.1150122523477 -1047.5063270975272
-1013.6386193050481 -1091.7173793136474 -1046.9726961098265
-1008.9127348543352 -1075.5696411516747 -1045.5834033512067
-1013.0521172496622 -1049.8148667479948 -1042.625647259304
