150 0 0
150 0 0
150 0 0
150 0 0
150 0 0
57 93 0
55 64 32
83 26 43
31 85 35
36 42 74
54 45 52
53 30 69
41 49 61
32 61 58
42 51 59
46 49 57
34 58 60
76 43 33
46 40 67
74 44 35
64 52 35
55 50 47
64 33 55
50 46 55
68 38 47
50 41 61
67 49 36
53 38 61
48 71 33
53 29 69
57 62 32
60 35 56
62 50 39
55 37 60
60 44 48
59 42 52
53 40 60
64 44 43
53 38 60
61 43 48
56 40 55
58 41 52
53 40 59
58 40 54
57 41 54
52 41 59
59 40 53
63 47 42
55 38 59
61 44 46
